id,address_number,street_name,place_name,state_name,zip_code,lat,lon
P003257052,450,N LARAMOE,Chicago,IL,,,
P003133410,5950,N SHERIDAN,Chicago,IL,,41.99021996560211,-87.65538944547168
P003117836,650,E 67TH ST,Chicago,IL,,41.77308387521843,-87.60905911196663
P003199534,2450,E 75TH ST,Chicago,IL,,41.759008,-87.56476299999999
P003949954,1950,W PETERSON,Chicago,IL,,41.99070799999999,-87.67775499999998
P003248459,950,W MARQUETTE,Chicago,IL,,41.772413,-87.64883899999998
P003967557,1950,N MILWAUKEE,Chicago,IL,,41.916976017519055,-87.6876616516327
P002085714,150,W 18TH ST,Chicago,IL,,41.857761,-87.63376199999998
P003329713,2150,S ARCHER,Chicago,IL,,41.85321341550211,-87.63409007932974
P003311932,2650,S KEDZIE,Chicago,IL,,41.87732599999999,-87.70601499999998
P003795753,5050,W AUGUSTA,Chicago,IL,,41.89861449999998,-87.75278250000069
P003222201,3350,W OGDEN,Chicago,IL,,41.85647622448979,-87.70966481632652
P003304106,1050,W BRYN MAWR,Chicago,IL,,41.98367330386539,-87.65711399223068
P003056160,4650,N ST LOUIS,Chicago,IL,,41.965665587323286,-87.7157255787262
P003968761,2050,N MILWAUKEE,Chicago,IL,,41.88681499999999,-87.64133599999998
P003223034,3850,W CERMAK RD,Chicago,IL,,41.85155928571429,-87.72194342857142
P003054456,750,N MICHIGAN,Chicago,IL,,41.88447099999999,-87.62445199999998
P003007534,6350,S ASHLAND,Chicago,IL,,41.874251,-87.666686
P003952279,4950,N BROADWAY,Chicago,IL,,41.97222342857142,-87.65975869387755
P003860601,1250,W 87TH ST,Chicago,IL,,41.735909901982176,-87.65493785063299
P003257127,5750,W MADISON,Chicago,IL,,41.88204199999999,-87.62780599999998
P004001431,50,E RANDOLPH,Chicago,IL,,41.88449604941092,-87.6260426145629
P003220703,3850,W ROOSEVELT RD,Chicago,IL,,41.867341,-87.63719399999998
P003117841,1950,E 71ST ST,Chicago,IL,,41.76620521951219,-87.57738082926828
P003222240,3350,W CERMAK,Chicago,IL,,41.852854,-87.63677799999998
P003212897,150,S STATE ST,Chicago,IL,,41.880743,-87.62772699999998
P003140717,850,E 67TH ST,Chicago,IL,,41.77314870827272,-87.60485136504649
